State Postal,County Name,TOTAL VOTES CAST,Party1,First name1,Last name1,Votes1,Party2,First name2,Last name2,Votes2,Median Household Income
AK,Alaska,220596,Dem,Barack,Obama,91696,GOP,Mitt,Romney,121234,"66,503"
AL,Alabama,2064699,Dem,Barack,Obama,793620,GOP,Mitt,Romney,1252453,"41,610"
AL,Autauga,23909,Dem,Barack,Obama,6354,GOP,Mitt,Romney,17366,"51,441"
AL,Baldwin,84988,Dem,Barack,Obama,18329,GOP,Mitt,Romney,65772,"48,867"
AL,Barbour,11459,Dem,Barack,Obama,5873,GOP,Mitt,Romney,5539,"30,287"
AL,Bibb,8391,Dem,Barack,Obama,2200,GOP,Mitt,Romney,6131,"37,392"
AL,Blount,23980,Dem,Barack,Obama,2961,GOP,Mitt,Romney,20741,"44,225"
AL,Bullock,5318,Dem,Barack,Obama,4058,GOP,Mitt,Romney,1250,"25,854"
AL,Butler,9483,Dem,Barack,Obama,4367,GOP,Mitt,Romney,5081,"30,605"
AL,Calhoun,46240,Dem,Barack,Obama,15500,GOP,Mitt,Romney,30272,"39,212"
AL,Chambers,14562,Dem,Barack,Obama,6853,GOP,Mitt,Romney,7596,"32,320"
AL,Cherokee,9761,Dem,Barack,Obama,2126,GOP,Mitt,Romney,7494,"37,868"
AL,Chilton,17434,Dem,Barack,Obama,3391,GOP,Mitt,Romney,13910,"39,621"
AL,Choctaw,7965,Dem,Barack,Obama,3785,GOP,Mitt,Romney,4150,"33,390"
AL,Clarke,13827,Dem,Barack,Obama,6317,GOP,Mitt,Romney,7463,"34,606"
AL,Clay,6640,Dem,Barack,Obama,1770,GOP,Mitt,Romney,4802,"34,579"
AL,Cleburne,6302,Dem,Barack,Obama,971,GOP,Mitt,Romney,5269,"38,235"
AL,Coffee,19715,Dem,Barack,Obama,4899,GOP,Mitt,Romney,14638,"45,631"
AL,Colbert,23374,Dem,Barack,Obama,9160,GOP,Mitt,Romney,13931,"39,771"
AL,Conecuh,7013,Dem,Barack,Obama,3551,GOP,Mitt,Romney,3434,"27,110"
AL,Coosa,5243,Dem,Barack,Obama,2188,GOP,Mitt,Romney,3028,"32,960"
AL,Covington,15415,Dem,Barack,Obama,3155,GOP,Mitt,Romney,12148,"34,017"
AL,Crenshaw,6411,Dem,Barack,Obama,2048,GOP,Mitt,Romney,4326,"33,648"
AL,Cullman,33178,Dem,Barack,Obama,4855,GOP,Mitt,Romney,27930,"37,938"
AL,Dale,18551,Dem,Barack,Obama,5283,GOP,Mitt,Romney,13105,"40,125"
AL,Dallas,20936,Dem,Barack,Obama,14599,GOP,Mitt,Romney,6284,"27,400"
AL,DeKalb,23842,Dem,Barack,Obama,5235,GOP,Mitt,Romney,18316,"37,644"
AL,Elmore,35440,Dem,Barack,Obama,8940,GOP,Mitt,Romney,26223,"52,324"
AL,Escambia,14832,Dem,Barack,Obama,5476,GOP,Mitt,Romney,9263,"33,588"
AL,Etowah,42490,Dem,Barack,Obama,12792,GOP,Mitt,Romney,29102,"35,737"
AL,Fayette,7912,Dem,Barack,Obama,1803,GOP,Mitt,Romney,6034,"35,720"
AL,Franklin,10859,Dem,Barack,Obama,3171,GOP,Mitt,Romney,7567,"33,173"
AL,Geneva,11318,Dem,Barack,Obama,2039,GOP,Mitt,Romney,9173,"33,347"
AL,Greene,5328,Dem,Barack,Obama,4514,GOP,Mitt,Romney,799,"24,592"
AL,Hale,8628,Dem,Barack,Obama,5401,GOP,Mitt,Romney,3205,"31,025"
AL,Henry,8700,Dem,Barack,Obama,3046,GOP,Mitt,Romney,5605,"37,108"
AL,Houston,41843,Dem,Barack,Obama,12348,GOP,Mitt,Romney,29214,"40,609"
AL,Jackson,20555,Dem,Barack,Obama,5817,GOP,Mitt,Romney,14422,"39,618"
AL,Jefferson,303424,Dem,Barack,Obama,159658,GOP,Mitt,Romney,141413,"43,967"
AL,Lamar,7159,Dem,Barack,Obama,1643,GOP,Mitt,Romney,5453,"33,940"
AL,Lauderdale,36908,Dem,Barack,Obama,12504,GOP,Mitt,Romney,23902,"41,536"
AL,Lawrence,14079,Dem,Barack,Obama,5055,GOP,Mitt,Romney,8855,"38,524"
AL,Lee,54115,Dem,Barack,Obama,21274,GOP,Mitt,Romney,32062,"43,182"
AL,Limestone,35406,Dem,Barack,Obama,9809,GOP,Mitt,Romney,25263,"49,616"
AL,Lowndes,7519,Dem,Barack,Obama,5747,GOP,Mitt,Romney,1754,"28,544"
AL,Macon,10385,Dem,Barack,Obama,9045,GOP,Mitt,Romney,1322,"27,709"
AL,Madison,154632,Dem,Barack,Obama,61802,GOP,Mitt,Romney,90679,"57,072"
AL,Marengo,11509,Dem,Barack,Obama,6154,GOP,Mitt,Romney,5321,"31,888"
AL,Marion,12104,Dem,Barack,Obama,2249,GOP,Mitt,Romney,9696,"32,237"
AL,Marshall,32455,Dem,Barack,Obama,6271,GOP,Mitt,Romney,25785,"36,960"
AL,Mobile,174189,Dem,Barack,Obama,78417,GOP,Mitt,Romney,94566,"39,546"
AL,Monroe,10680,Dem,Barack,Obama,4897,GOP,Mitt,Romney,5730,"36,221"
AL,Montgomery,101781,Dem,Barack,Obama,62993,GOP,Mitt,Romney,38283,"41,430"
AL,Morgan,49198,Dem,Barack,Obama,13401,GOP,Mitt,Romney,35309,"44,766"
AL,Perry,6065,Dem,Barack,Obama,4536,GOP,Mitt,Romney,1504,"25,215"
AL,Pickens,9599,Dem,Barack,Obama,4448,GOP,Mitt,Romney,5119,"31,433"
AL,Pike,14057,Dem,Barack,Obama,6009,GOP,Mitt,Romney,7939,"32,411"
AL,Randolph,10391,Dem,Barack,Obama,3076,GOP,Mitt,Romney,7219,"35,024"
AL,Russell,18871,Dem,Barack,Obama,10495,GOP,Mitt,Romney,8276,"34,310"
AL,St. Clair,35105,Dem,Barack,Obama,5790,GOP,Mitt,Romney,29001,"50,989"
AL,Shelby,92204,Dem,Barack,Obama,19944,GOP,Mitt,Romney,71243,"67,244"
AL,Sumter,7025,Dem,Barack,Obama,5420,GOP,Mitt,Romney,1585,"24,059"
AL,Talladega,33317,Dem,Barack,Obama,13878,GOP,Mitt,Romney,19217,"34,785"
AL,Tallapoosa,18668,Dem,Barack,Obama,6252,GOP,Mitt,Romney,12303,"36,463"
AL,Tuscaloosa,78495,Dem,Barack,Obama,32003,GOP,Mitt,Romney,45703,"41,495"
AL,Walker,28497,Dem,Barack,Obama,6551,GOP,Mitt,Romney,21633,"36,600"
AL,Washington,8761,Dem,Barack,Obama,2971,GOP,Mitt,Romney,5749,"39,173"
AL,Wilcox,6547,Dem,Barack,Obama,4867,GOP,Mitt,Romney,1676,"22,126"
AL,Winston,9712,Dem,Barack,Obama,1286,GOP,Mitt,Romney,8310,"32,663"
AR,Arkansas,1062831,Dem,Barack,Obama,391953,GOP,Mitt,Romney,643717,"40,151"
