State Postal,County FIPS Code,County Name,TOTAL VOTES CAST,Party1,First name1,Last name1,Votes1,Party2,First name2,Last name2,Votes2,Median Household Income
AK,0,Alaska,220596,Dem,Barack,Obama,91696,GOP,Mitt,Romney,121234,"66,503"
AL,0,Alabama,2064699,Dem,Barack,Obama,793620,GOP,Mitt,Romney,1252453,"41,610"
AL,1,Autauga,23909,Dem,Barack,Obama,6354,GOP,Mitt,Romney,17366,"51,441"
AL,3,Baldwin,84988,Dem,Barack,Obama,18329,GOP,Mitt,Romney,65772,"48,867"
AL,5,Barbour,11459,Dem,Barack,Obama,5873,GOP,Mitt,Romney,5539,"30,287"
AL,7,Bibb,8391,Dem,Barack,Obama,2200,GOP,Mitt,Romney,6131,"37,392"
AL,9,Blount,23980,Dem,Barack,Obama,2961,GOP,Mitt,Romney,20741,"44,225"
AL,11,Bullock,5318,Dem,Barack,Obama,4058,GOP,Mitt,Romney,1250,"25,854"
AL,13,Butler,9483,Dem,Barack,Obama,4367,GOP,Mitt,Romney,5081,"30,605"
AL,15,Calhoun,46240,Dem,Barack,Obama,15500,GOP,Mitt,Romney,30272,"39,212"
AL,17,Chambers,14562,Dem,Barack,Obama,6853,GOP,Mitt,Romney,7596,"32,320"
AL,19,Cherokee,9761,Dem,Barack,Obama,2126,GOP,Mitt,Romney,7494,"37,868"
AL,21,Chilton,17434,Dem,Barack,Obama,3391,GOP,Mitt,Romney,13910,"39,621"
AL,23,Choctaw,7965,Dem,Barack,Obama,3785,GOP,Mitt,Romney,4150,"33,390"
AL,25,Clarke,13827,Dem,Barack,Obama,6317,GOP,Mitt,Romney,7463,"34,606"
AL,27,Clay,6640,Dem,Barack,Obama,1770,GOP,Mitt,Romney,4802,"34,579"
AL,29,Cleburne,6302,Dem,Barack,Obama,971,GOP,Mitt,Romney,5269,"38,235"
AL,31,Coffee,19715,Dem,Barack,Obama,4899,GOP,Mitt,Romney,14638,"45,631"
AL,33,Colbert,23374,Dem,Barack,Obama,9160,GOP,Mitt,Romney,13931,"39,771"
AL,35,Conecuh,7013,Dem,Barack,Obama,3551,GOP,Mitt,Romney,3434,"27,110"
AL,37,Coosa,5243,Dem,Barack,Obama,2188,GOP,Mitt,Romney,3028,"32,960"
AL,39,Covington,15415,Dem,Barack,Obama,3155,GOP,Mitt,Romney,12148,"34,017"
AL,41,Crenshaw,6411,Dem,Barack,Obama,2048,GOP,Mitt,Romney,4326,"33,648"
AL,43,Cullman,33178,Dem,Barack,Obama,4855,GOP,Mitt,Romney,27930,"37,938"
AL,45,Dale,18551,Dem,Barack,Obama,5283,GOP,Mitt,Romney,13105,"40,125"
AL,47,Dallas,20936,Dem,Barack,Obama,14599,GOP,Mitt,Romney,6284,"27,400"
AL,49,DeKalb,23842,Dem,Barack,Obama,5235,GOP,Mitt,Romney,18316,"37,644"
AL,51,Elmore,35440,Dem,Barack,Obama,8940,GOP,Mitt,Romney,26223,"52,324"
AL,53,Escambia,14832,Dem,Barack,Obama,5476,GOP,Mitt,Romney,9263,"33,588"
AL,55,Etowah,42490,Dem,Barack,Obama,12792,GOP,Mitt,Romney,29102,"35,737"
AL,57,Fayette,7912,Dem,Barack,Obama,1803,GOP,Mitt,Romney,6034,"35,720"
AL,59,Franklin,10859,Dem,Barack,Obama,3171,GOP,Mitt,Romney,7567,"33,173"
AL,61,Geneva,11318,Dem,Barack,Obama,2039,GOP,Mitt,Romney,9173,"33,347"
AL,63,Greene,5328,Dem,Barack,Obama,4514,GOP,Mitt,Romney,799,"24,592"
AL,65,Hale,8628,Dem,Barack,Obama,5401,GOP,Mitt,Romney,3205,"31,025"
AL,67,Henry,8700,Dem,Barack,Obama,3046,GOP,Mitt,Romney,5605,"37,108"
AL,69,Houston,41843,Dem,Barack,Obama,12348,GOP,Mitt,Romney,29214,"40,609"
AL,71,Jackson,20555,Dem,Barack,Obama,5817,GOP,Mitt,Romney,14422,"39,618"
AL,73,Jefferson,303424,Dem,Barack,Obama,159658,GOP,Mitt,Romney,141413,"43,967"
AL,75,Lamar,7159,Dem,Barack,Obama,1643,GOP,Mitt,Romney,5453,"33,940"
AL,77,Lauderdale,36908,Dem,Barack,Obama,12504,GOP,Mitt,Romney,23902,"41,536"
AL,79,Lawrence,14079,Dem,Barack,Obama,5055,GOP,Mitt,Romney,8855,"38,524"
AL,81,Lee,54115,Dem,Barack,Obama,21274,GOP,Mitt,Romney,32062,"43,182"
AL,83,Limestone,35406,Dem,Barack,Obama,9809,GOP,Mitt,Romney,25263,"49,616"
AL,85,Lowndes,7519,Dem,Barack,Obama,5747,GOP,Mitt,Romney,1754,"28,544"
AL,87,Macon,10385,Dem,Barack,Obama,9045,GOP,Mitt,Romney,1322,"27,709"
AL,89,Madison,154632,Dem,Barack,Obama,61802,GOP,Mitt,Romney,90679,"57,072"
AL,91,Marengo,11509,Dem,Barack,Obama,6154,GOP,Mitt,Romney,5321,"31,888"
AL,93,Marion,12104,Dem,Barack,Obama,2249,GOP,Mitt,Romney,9696,"32,237"
AL,95,Marshall,32455,Dem,Barack,Obama,6271,GOP,Mitt,Romney,25785,"36,960"
AL,97,Mobile,174189,Dem,Barack,Obama,78417,GOP,Mitt,Romney,94566,"39,546"
AL,99,Monroe,10680,Dem,Barack,Obama,4897,GOP,Mitt,Romney,5730,"36,221"
AL,101,Montgomery,101781,Dem,Barack,Obama,62993,GOP,Mitt,Romney,38283,"41,430"
AL,103,Morgan,49198,Dem,Barack,Obama,13401,GOP,Mitt,Romney,35309,"44,766"
AL,105,Perry,6065,Dem,Barack,Obama,4536,GOP,Mitt,Romney,1504,"25,215"
AL,107,Pickens,9599,Dem,Barack,Obama,4448,GOP,Mitt,Romney,5119,"31,433"
AL,109,Pike,14057,Dem,Barack,Obama,6009,GOP,Mitt,Romney,7939,"32,411"
AL,111,Randolph,10391,Dem,Barack,Obama,3076,GOP,Mitt,Romney,7219,"35,024"
AL,113,Russell,18871,Dem,Barack,Obama,10495,GOP,Mitt,Romney,8276,"34,310"
AL,115,St. Clair,35105,Dem,Barack,Obama,5790,GOP,Mitt,Romney,29001,"50,989"
AL,117,Shelby,92204,Dem,Barack,Obama,19944,GOP,Mitt,Romney,71243,"67,244"
AL,119,Sumter,7025,Dem,Barack,Obama,5420,GOP,Mitt,Romney,1585,"24,059"
AL,121,Talladega,33317,Dem,Barack,Obama,13878,GOP,Mitt,Romney,19217,"34,785"
AL,123,Tallapoosa,18668,Dem,Barack,Obama,6252,GOP,Mitt,Romney,12303,"36,463"
AL,125,Tuscaloosa,78495,Dem,Barack,Obama,32003,GOP,Mitt,Romney,45703,"41,495"
AL,127,Walker,28497,Dem,Barack,Obama,6551,GOP,Mitt,Romney,21633,"36,600"
AL,129,Washington,8761,Dem,Barack,Obama,2971,GOP,Mitt,Romney,5749,"39,173"
AL,131,Wilcox,6547,Dem,Barack,Obama,4867,GOP,Mitt,Romney,1676,"22,126"
AL,133,Winston,9712,Dem,Barack,Obama,1286,GOP,Mitt,Romney,8310,"32,663"
AR,0,Arkansas,1062831,Dem,Barack,Obama,391953,GOP,Mitt,Romney,643717,"40,151"
AR,3,Ashley,7915,Dem,Barack,Obama,2855,GOP,Mitt,Romney,4866,"39,276"
AR,5,Baxter,19339,Dem,Barack,Obama,5172,GOP,Mitt,Romney,13688,"35,315"
AR,7,Benton,77525,Dem,Barack,Obama,22144,GOP,Mitt,Romney,53477,"52,717"
AR,9,Boone,15363,Dem,Barack,Obama,3762,GOP,Mitt,Romney,11143,"35,848"
AR,11,Bradley,3634,Dem,Barack,Obama,1447,GOP,Mitt,Romney,2118,"31,940"
AR,15,Carroll,10172,Dem,Barack,Obama,3691,GOP,Mitt,Romney,6121,"34,096"
AR,17,Chicot,4361,Dem,Barack,Obama,2649,GOP,Mitt,Romney,1670,"26,911"
AR,19,Clark,8406,Dem,Barack,Obama,3808,GOP,Mitt,Romney,4343,"34,482"
AR,25,Cleveland,3266,Dem,Barack,Obama,845,GOP,Mitt,Romney,2313,"41,338"
AR,27,Columbia,9455,Dem,Barack,Obama,3557,GOP,Mitt,Romney,5790,"35,024"
AR,29,Conway,7724,Dem,Barack,Obama,3003,GOP,Mitt,Romney,4511,"35,832"
AR,31,Craighead,31207,Dem,Barack,Obama,10351,GOP,Mitt,Romney,20044,"42,437"
AR,33,Crawford,20562,Dem,Barack,Obama,4872,GOP,Mitt,Romney,15125,"39,367"
AR,35,Crittenden,15513,Dem,Barack,Obama,9092,GOP,Mitt,Romney,6192,"36,588"
AR,37,Cross,6680,Dem,Barack,Obama,2279,GOP,Mitt,Romney,4268,"35,839"
AR,41,Desha,4240,Dem,Barack,Obama,2353,GOP,Mitt,Romney,1807,"30,298"
AR,43,Drew,6626,Dem,Barack,Obama,2627,GOP,Mitt,Romney,3883,"33,682"
AR,45,Faulkner,41322,Dem,Barack,Obama,13559,GOP,Mitt,Romney,26653,"49,843"
AR,49,Fulton,4522,Dem,Barack,Obama,1452,GOP,Mitt,Romney,2949,"31,988"
AR,51,Garland,39241,Dem,Barack,Obama,13317,GOP,Mitt,Romney,25031,"39,617"
AR,53,Grant,6478,Dem,Barack,Obama,1467,GOP,Mitt,Romney,4829,"47,421"
AR,57,Hempstead,6919,Dem,Barack,Obama,2466,GOP,Mitt,Romney,4284,"32,292"
AR,59,Hot Spring,11239,Dem,Barack,Obama,3824,GOP,Mitt,Romney,7087,"41,754"
AR,61,Howard,4419,Dem,Barack,Obama,1460,GOP,Mitt,Romney,2862,"33,049"
AR,63,Independence,12390,Dem,Barack,Obama,3279,GOP,Mitt,Romney,8724,"37,818"
AR,65,Izard,5313,Dem,Barack,Obama,1563,GOP,Mitt,Romney,3571,"29,663"
AR,71,Johnson,8064,Dem,Barack,Obama,2785,GOP,Mitt,Romney,5045,"34,322"
AR,73,Lafayette,2928,Dem,Barack,Obama,1173,GOP,Mitt,Romney,1712,"28,857"
AR,79,Lincoln,3725,Dem,Barack,Obama,1424,GOP,Mitt,Romney,2199,"36,222"
AR,81,Little River,5051,Dem,Barack,Obama,1552,GOP,Mitt,Romney,3385,"35,406"
AR,83,Logan,7330,Dem,Barack,Obama,2009,GOP,Mitt,Romney,5078,"33,850"
AR,85,Lonoke,24083,Dem,Barack,Obama,5612,GOP,Mitt,Romney,17863,"51,212"
AR,91,Miller,15329,Dem,Barack,Obama,4518,GOP,Mitt,Romney,10622,"38,225"
AR,93,Mississippi,13349,Dem,Barack,Obama,6445,GOP,Mitt,Romney,6599,"34,058"
AR,99,Nevada,3384,Dem,Barack,Obama,1314,GOP,Mitt,Romney,1996,"32,107"
AR,101,Newton,3661,Dem,Barack,Obama,993,GOP,Mitt,Romney,2508,"29,316"
AR,103,Ouachita,10303,Dem,Barack,Obama,4626,GOP,Mitt,Romney,5516,"32,749"
AR,107,Phillips,7900,Dem,Barack,Obama,5179,GOP,Mitt,Romney,2591,"26,013"
AR,111,Poinsett,7550,Dem,Barack,Obama,2387,GOP,Mitt,Romney,4967,"32,248"
AR,113,Polk,7721,Dem,Barack,Obama,1556,GOP,Mitt,Romney,5950,"31,749"
AR,115,Pope,20390,Dem,Barack,Obama,5108,GOP,Mitt,Romney,14733,"40,206"
AR,117,Prairie,3134,Dem,Barack,Obama,877,GOP,Mitt,Romney,2149,"36,191"
AR,119,Pulaski,159055,Dem,Barack,Obama,87055,GOP,Mitt,Romney,68856,"44,819"
AR,125,Saline,47059,Dem,Barack,Obama,12868,GOP,Mitt,Romney,32962,"57,787"
AR,127,Scott,3637,Dem,Barack,Obama,895,GOP,Mitt,Romney,2630,"30,630"
AR,129,Searcy,3694,Dem,Barack,Obama,814,GOP,Mitt,Romney,2699,"26,330"
AR,131,Sebastian,43340,Dem,Barack,Obama,13083,GOP,Mitt,Romney,29158,"38,730"
AR,133,Sevier,4328,Dem,Barack,Obama,1042,GOP,Mitt,Romney,3135,"32,662"
AR,135,Sharp,7282,Dem,Barack,Obama,2092,GOP,Mitt,Romney,4920,"30,076"
AR,137,Stone,5351,Dem,Barack,Obama,1356,GOP,Mitt,Romney,3773,"28,442"
AR,139,Union,17160,Dem,Barack,Obama,6182,GOP,Mitt,Romney,10696,"40,026"
AR,141,Van Buren,6421,Dem,Barack,Obama,1826,GOP,Mitt,Romney,4362,"35,876"
AR,145,White,26508,Dem,Barack,Obama,5765,GOP,Mitt,Romney,20005,"40,950"
AR,147,Woodruff,2685,Dem,Barack,Obama,1340,GOP,Mitt,Romney,1227,"29,184"
AR,149,Yell,5971,Dem,Barack,Obama,1720,GOP,Mitt,Romney,4041,"38,322"
AZ,0,Arizona,2041519,Dem,Barack,Obama,900081,GOP,Mitt,Romney,1107130,"47,796"
AZ,1,Apache,25465,Dem,Barack,Obama,16833,GOP,Mitt,Romney,8198,"32,886"
AZ,3,Cochise,43776,Dem,Barack,Obama,16223,GOP,Mitt,Romney,26742,"43,017"
AZ,5,Coconino,46746,Dem,Barack,Obama,26316,GOP,Mitt,Romney,19368,"45,509"
AZ,7,Gila,18477,Dem,Barack,Obama,6650,GOP,Mitt,Romney,11525,"38,267"
AZ,9,Graham,11854,Dem,Barack,Obama,3608,GOP,Mitt,Romney,8076,"41,080"
AZ,11,Greenlee,2972,Dem,Barack,Obama,1310,GOP,Mitt,Romney,1590,"53,312"
AZ,12,La Paz,4922,Dem,Barack,Obama,1619,GOP,Mitt,Romney,3205,"35,236"
AZ,13,Maricopa,1187008,Dem,Barack,Obama,512008,GOP,Mitt,Romney,654835,"51,442"
AZ,15,Mohave,65949,Dem,Barack,Obama,18324,GOP,Mitt,Romney,46442,"34,966"
AZ,17,Navajo,35775,Dem,Barack,Obama,16157,GOP,Mitt,Romney,19155,"34,662"
AZ,19,Pima,351817,Dem,Barack,Obama,183470,GOP,Mitt,Romney,162927,"44,745"
AZ,21,Pinal,102139,Dem,Barack,Obama,41428,GOP,Mitt,Romney,58947,"50,362"
AZ,23,Santa Cruz,13894,Dem,Barack,Obama,9486,GOP,Mitt,Romney,4235,"36,660"
AZ,25,Yavapai,96790,Dem,Barack,Obama,32624,GOP,Mitt,Romney,62385,"43,397"
AZ,27,Yuma,33935,Dem,Barack,Obama,14025,GOP,Mitt,Romney,19500,"39,072"
CA,0,California,10538656,Dem,Barack,Obama,6241648,GOP,Mitt,Romney,4046524,"58,322"
CA,1,Alameda,558386,Dem,Barack,Obama,438091,GOP,Mitt,Romney,104330,"70,209"
CA,3,Alpine,647,Dem,Barack,Obama,389,GOP,Mitt,Romney,236,"46,336"
CA,5,Amador,15303,Dem,Barack,Obama,6001,GOP,Mitt,Romney,8903,"51,388"
CA,7,Butte,70163,Dem,Barack,Obama,32567,GOP,Mitt,Romney,35312,"40,748"
CA,9,Calaveras,18469,Dem,Barack,Obama,7404,GOP,Mitt,Romney,10537,"50,962"
CA,11,Colusa,5865,Dem,Barack,Obama,2248,GOP,Mitt,Romney,3521,"49,871"
CA,13,Contra Costa,351257,Dem,Barack,Obama,230826,GOP,Mitt,Romney,112547,"74,208"
CA,15,Del Norte,7940,Dem,Barack,Obama,3396,GOP,Mitt,Romney,4256,"37,305"
CA,17,El Dorado,85923,Dem,Barack,Obama,34033,GOP,Mitt,Romney,49661,"68,446"
CA,19,Fresno,180244,Dem,Barack,Obama,85862,GOP,Mitt,Romney,91143,"41,563"
CA,21,Glenn,9142,Dem,Barack,Obama,3276,GOP,Mitt,Romney,5608,"41,201"
CA,23,Humboldt,46269,Dem,Barack,Obama,27757,GOP,Mitt,Romney,15653,"39,837"
CA,25,Imperial,27453,Dem,Barack,Obama,17464,GOP,Mitt,Romney,9545,"38,185"
CA,27,Inyo,6501,Dem,Barack,Obama,2775,GOP,Mitt,Romney,3541,"45,748"
CA,29,Kern,168116,Dem,Barack,Obama,64690,GOP,Mitt,Romney,99840,"45,599"
CA,31,Kings,30139,Dem,Barack,Obama,12282,GOP,Mitt,Romney,17184,"45,464"
CA,33,Lake,16274,Dem,Barack,Obama,9159,GOP,Mitt,Romney,6474,"35,437"
CA,35,Lassen,10603,Dem,Barack,Obama,3044,GOP,Mitt,Romney,7261,"47,480"
CA,37,Los Angeles,2427869,Dem,Barack,Obama,1672164,GOP,Mitt,Romney,699600,"52,929"
CA,39,Madera,32372,Dem,Barack,Obama,12698,GOP,Mitt,Romney,18990,"42,054"
CA,41,Marin,99286,Dem,Barack,Obama,73450,GOP,Mitt,Romney,23347,"88,654"
CA,43,Mariposa,7805,Dem,Barack,Obama,3080,GOP,Mitt,Romney,4434,"43,166"
CA,45,Mendocino,17928,Dem,Barack,Obama,11869,GOP,Mitt,Romney,5129,"41,088"
CA,47,Merced,50538,Dem,Barack,Obama,26128,GOP,Mitt,Romney,23403,"42,552"
CA,49,Modoc,3986,Dem,Barack,Obama,1113,GOP,Mitt,Romney,2779,"36,724"
CA,51,Mono,4917,Dem,Barack,Obama,2574,GOP,Mitt,Romney,2202,"53,067"
CA,53,Monterey,78522,Dem,Barack,Obama,51712,GOP,Mitt,Romney,25087,"56,038"
CA,55,Napa,32332,Dem,Barack,Obama,19964,GOP,Mitt,Romney,11647,"65,698"
CA,59,Orange,1021315,Dem,Barack,Obama,457077,GOP,Mitt,Romney,541592,"71,866"
CA,61,Placer,126325,Dem,Barack,Obama,49126,GOP,Mitt,Romney,74460,"69,521"
CA,63,Plumas,9128,Dem,Barack,Obama,3670,GOP,Mitt,Romney,5240,"46,450"
CA,65,Riverside,589721,Dem,Barack,Obama,287754,GOP,Mitt,Romney,290227,"52,416"
CA,67,Sacramento,388090,Dem,Barack,Obama,221063,GOP,Mitt,Romney,157688,"52,617"
CA,69,San Benito,14972,Dem,Barack,Obama,8617,GOP,Mitt,Romney,6052,"60,577"
CA,71,San Bernardino,531692,Dem,Barack,Obama,274203,GOP,Mitt,Romney,245468,"50,603"
CA,73,San Diego,928256,Dem,Barack,Obama,478386,GOP,Mitt,Romney,431046,"60,235"
CA,75,San Francisco,321023,Dem,Barack,Obama,267857,GOP,Mitt,Romney,42654,"72,093"
CA,77,San Joaquin,149587,Dem,Barack,Obama,80005,GOP,Mitt,Romney,66742,"50,431"
CA,79,San Luis Obispo,117597,Dem,Barack,Obama,57655,GOP,Mitt,Romney,56500,"58,427"
CA,81,San Mateo,211814,Dem,Barack,Obama,151036,GOP,Mitt,Romney,56244,"81,568"
CA,83,Santa Barbara,147249,Dem,Barack,Obama,84279,GOP,Mitt,Romney,59096,"60,683"
CA,85,Santa Clara,491687,Dem,Barack,Obama,343239,GOP,Mitt,Romney,136347,"91,195"
CA,89,Shasta,54121,Dem,Barack,Obama,18184,GOP,Mitt,Romney,34561,"44,477"
CA,91,Sierra,1779,Dem,Barack,Obama,652,GOP,Mitt,Romney,1056,"45,157"
CA,93,Siskiyou,17505,Dem,Barack,Obama,7110,GOP,Mitt,Romney,9844,"36,597"
CA,95,Solano,138565,Dem,Barack,Obama,87225,GOP,Mitt,Romney,48364,"61,976"
CA,97,Sonoma,175738,Dem,Barack,Obama,124504,GOP,Mitt,Romney,45666,"59,855"
CA,99,Stanislaus,143620,Dem,Barack,Obama,70609,GOP,Mitt,Romney,69549,"46,324"
CA,101,Sutter,20988,Dem,Barack,Obama,8004,GOP,Mitt,Romney,12576,"46,524"
CA,103,Tehama,17356,Dem,Barack,Obama,6032,GOP,Mitt,Romney,10791,"38,577"
CA,105,Trinity,5030,Dem,Barack,Obama,2367,GOP,Mitt,Romney,2422,"35,162"
CA,107,Tulare,72832,Dem,Barack,Obama,29191,GOP,Mitt,Romney,42186,"40,197"
